CountryName,CountryCode,FeFertilityRate2020,FeLabourRate2020,FeSchoolEnrol2020,FeLifeExpect2020,DeathRateInfant2020
South Asia (IDA & IBRD),TSA,2.267097783,24.17961892,71.05934906,71.61330382,32.08237356
Sub-Saharan Africa (IDA & IBRD countries),TSS,4.666825095,59.84652422,41.58243942,62.83038127,51.13268457
Trinidad and Tobago,TTO,1.631,46.72200012,,77.881,15
Tunisia,TUN,2.114,25.09700012,,79.279,14.3
Turkiye,TUR,1.917,30.7670002,102.949707,79.061,8.1
Tuvalu,TUV,3.188,,63.00365829,68.978,18.7
Tanzania,TZA,4.795,76.08899689,32.88909912,68.542,34.9
Uganda,UGA,4.693,66.88600159,,64.898,32.1
Ukraine,UKR,1.217,48.15100098,,76.22,7.1
Upper middle income,UMC,1.567603918,54.09084248,94.82147217,79.07195872,9.8
Uruguay,URY,1.477,54.41999817,126.29702,81.911,5.4
United States,USA,1.6375,55.70000076,99.41429901,80.2,5.4
Uzbekistan,UZB,2.9,70.52899933,92.96141052,72.789,13.2
St. Vincent and the Grenadines,VCT,1.814,52.20399857,,74.944,13
"Venezuela, RB",VEN,2.23,38.88700104,,75.814,21.1
British Virgin Islands,VGB,0.976,,,78.763,10.3
Virgin Islands (U.S.),VIR,2.03,42.72399902,,83.2,
Vietnam,VNM,1.955,67.91200256,,79.92,16.6
Vanuatu,VUT,3.778,59.73600006,55.27053833,72.427,20.3
World,WLD,2.299029948,46.08465468,76.34555054,74.87777883,28.9
Samoa,WSM,3.997,40.68299866,,75.459,14.7
Kosovo,XKX,1.529,,,79.268,9.6
"Yemen, Rep.",YEM,3.886,5.921999931,,67.885,45.8
South Africa,ZAF,2.401,48.69599915,106.4894791,67.964,26.9
Zambia,ZMB,4.379,54.43600082,,65.043,41.1
Zimbabwe,ZWE,3.545,60.14899826,,63.862,36.6
